time,n_views
2.1646728515625,1
0.011000633239746094,1
0.00900411605834961,1
0.012039661407470703,1
0.012008428573608398,1
0.012000560760498047,1
0.008033037185668945,1
0.008002042770385742,1
0.008962631225585938,1
0.00800013542175293,1
0.00899958610534668,1
0.00999760627746582,1
0.009001493453979492,1
0.01098489761352539,1
0.008999824523925781,1
0.014001846313476562,1
0.00800180435180664,1
0.00902247428894043,1
0.008000612258911133,1
0.010032415390014648,1
0.009019613265991211,1
0.010001659393310547,1
0.008000373840332031,1
0.010001897811889648,1
0.011993408203125,1
0.010997295379638672,1
0.011007070541381836,1
0.009963274002075195,1
0.011001825332641602,1
0.010020732879638672,1
0.008002042770385742,1
0.014002561569213867,1
0.011991500854492188,1
0.01199960708618164,1
0.00800633430480957,1
0.011983871459960938,1
0.011034011840820312,1
0.008997678756713867,1
0.008011341094970703,1
0.007980108261108398,1
0.008995532989501953,1
0.009997129440307617,1
0.011008977890014648,1
0.010995149612426758,1
0.007990121841430664,1
0.009962320327758789,1
0.007999658584594727,1
0.007984399795532227,1
0.008000612258911133,1
0.00800013542175293,1
0.012982368469238281,1
0.012001514434814453,1
0.009997129440307617,1
0.018999576568603516,1
0.01099395751953125,1
0.0110015869140625,1
0.01000356674194336,1
0.009997367858886719,1
0.010004520416259766,1
0.008995771408081055,1
0.009001016616821289,1
0.01203298568725586,1
0.010027647018432617,1
0.009006261825561523,1
0.00899815559387207,1
0.010966777801513672,1
0.01003122329711914,1
0.01200103759765625,1
0.010001182556152344,1
0.01200103759765625,1
0.010001659393310547,1
0.009034395217895508,1
0.009034156799316406,1
0.009024381637573242,1
0.011008024215698242,1
0.010001659393310547,1
0.014997720718383789,1
0.014000654220581055,1
0.0099945068359375,1
0.009999752044677734,1
0.01099705696105957,1
0.011003494262695312,1
0.01600027084350586,1
0.014999866485595703,1
0.011001110076904297,1
0.010025978088378906,1
0.013003110885620117,1
0.011001348495483398,1
0.010995864868164062,1
0.01700115203857422,1
0.010000228881835938,1
0.011002063751220703,1
0.017005443572998047,1
0.013996601104736328,1
0.012004852294921875,1
0.014004230499267578,1
0.010001182556152344,1
0.010001659393310547,1
0.01296234130859375,1
0.015004158020019531,1
0.011031150817871094,1
0.014999866485595703,1
0.008999347686767578,1
0.009970903396606445,1
0.010003805160522461,1
0.010992288589477539,1
0.012973785400390625,1
0.008995771408081055,1
0.009999513626098633,1
0.00999760627746582,1
0.011996984481811523,1
0.009999752044677734,1
0.014998197555541992,1
0.010000944137573242,1
0.010007381439208984,1
0.0160064697265625,1
0.010999917984008789,1
0.00900411605834961,1
0.008999347686767578,1
0.008965253829956055,1
0.01003265380859375,1
0.00899815559387207,1
0.010000228881835938,1
0.008991003036499023,1
