0.2,0.3,0.4,0.5,sample_name,encoder_loss,refiner_loss
0.34230268001556396,0.1813393533229828,0.08986971527338028,0.059849705547094345,scan56,2.6432418823242188,2.571946144104004
0.14013224840164185,0.06542684137821198,0.018941359594464302,0.005320563912391663,scan49,3.1850414276123047,3.2065165042877197
0.1875,0.08399175852537155,0.04485536366701126,0.0356205478310585,scan3,4.332233905792236,4.238286972045898
0.1600906103849411,0.12151748687028885,0.09159553796052933,0.06522485613822937,scan46,2.4672203063964844,2.4882113933563232
0.1568886786699295,0.09034138172864914,0.024358302354812622,0.0027609055396169424,scan64,3.183290958404541,3.1578664779663086
0.2497619092464447,0.12213175743818283,0.0361081063747406,0.006955351214855909,scan8,3.233027696609497,3.30534029006958
0.20212766528129578,0.18870967626571655,0.15415161848068237,0.09585016220808029,scan16,2.1726417541503906,2.200122833251953
0.2287607192993164,0.06367316842079163,0.010259505361318588,0.004350528120994568,scan66,3.7279164791107178,3.6884891986846924
0.16344383358955383,0.13869066536426544,0.08247041702270508,0.04158644750714302,scan59,2.3939173221588135,2.4060492515563965
0.1801355630159378,0.06889806687831879,0.03448275849223137,0.02438429743051529,scan99,3.2219629287719727,3.2311055660247803
0.05768918991088867,0.005919002927839756,0.0014550745254382491,0.0011709601385518909,scan73,2.613725185394287,2.650972604751587
0.05452423915266991,0.03562074527144432,0.015930332243442535,0.003753588069230318,scan127,6.149797439575195,5.616798400878906
