==============MVS CALCULATE IOU from 1 to 128===============
Corrected: True
Maximized: True
IOU 3: 0.6052852348993288
IOU 4: 0.6881405563689604
IOU 5: 0.6326187473728457
IOU 6: 0.7007415254237288
IOU 7: 0.6272522522522522
IOU 8: 0.3617021276595745
IOU 9: 0.44576030317385124
IOU 10: 0.8449438202247191
IOU 11: 0.687616909839132
IOU 12: 0.744954128440367
IOU 13: 0.6172972972972973
IOU 14: 0.7398068669527897
IOU 15: 0.758819756254009
IOU 16: 0.6918114143920595
IOU 17: 0.742409402546523
IOU 18: 0.6241488878801634
IOU 19: 0.6010709504685409
IOU 20: 0.6238003838771593
IOU 21: 0.49259092950157163
IOU 22: 0.5103004291845493
IOU 23: 0.5836206896551724
IOU 24: 0.6381226842321943
IOU 25: 0.75254730713246
IOU 26: 0.75254730713246
IOU 27: 0.75254730713246
IOU 28: 0.7129210658622424
IOU 29: 0.6287878787878788
IOU 30: 0.40408017179670724
IOU 31: 0.6988636363636364
IOU 32: 0.643279797125951
IOU 33: 0.6291618828932262
IOU 34: 0.7371794871794872
IOU 35: 0.6949152542372882
IOU 36: 0.7334152334152334
IOU 37: 0.6622899159663865
IOU 38: 0.7021645021645022
IOU 39: 0.6851063829787234
IOU 40: 0.5354044220542961
IOU 41: 0.7808310991957105
IOU 42: 0.5759023354564756
IOU 43: 0.5087196937473416
IOU 44: 0.6048517520215634
IOU 45: 0.5724789915966386
IOU 46: 0.6957104557640751
IOU 47: 0.4392638036809816
IOU 48: 0.5105920695274307
IOU 49: 0.4435483870967742
IOU 50: 0.5869812393405344
IOU 51: 0.5172413793103449
IOU 52: 0.39715681919147044
IOU 53: 0.10939012584704744
IOU 54: 0.4635036496350365
IOU 55: 0.6719745222929936
IOU 56: 0.7777196652719666
IOU 57: 0.7169297768100164
IOU 58: 0.6339285714285714
IOU 59: 0.43620364550597107
IOU 60: 0.5106936416184971
IOU 61: 0.7042337507453786
IOU 62: 0.7078833693304536
IOU 63: 0.5192857142857142
IOU 64: 0.6150159744408946
IOU 65: 0.47969486201480815
IOU 66: 0.3253939171857823
IOU 67: 0.2278634028407374
IOU 68: 0.19665271966527198
IOU 69: 0.6552048987282147
IOU 70: 0.533724340175953
IOU 71: 0.6929824561403509
IOU 72: 0.4408461739357535
IOU 73: 0.6721457130164371
IOU 74: 0.5306841046277666
IOU 75: 0.6085124315212811
IOU 76: 0.58777633289987
IOU 77: 0.27324561403508774
IOU 82: 0.4622307062994273
IOU 83: 0.4622307062994273
IOU 84: 0.6052803129074316
IOU 93: 0.4652014652014652
IOU 94: 0.6187268440552375
IOU 95: 0.4780342516753537
IOU 96: 0.5913154533844189
IOU 97: 0.5291851851851852
IOU 98: 0.5331760542612799
IOU 99: 0.6015252621544328
IOU 100: 0.559447983014862
IOU 101: 0.5609619686800895
IOU 102: 0.37006427915518825
IOU 103: 0.753781512605042
IOU 104: 0.5796628602501359
IOU 105: 0.5977245022348638
IOU 106: 0.6568898727172109
IOU 107: 0.5258162490508732
IOU 108: 0.5823557015485687
IOU 109: 0.5638108780661216
IOU 110: 0.6944444444444444
IOU 111: 0.5675010258514567
IOU 112: 0.5947995666305526
IOU 113: 0.6492498706673564
IOU 114: 0.535601543318134
IOU 115: 0.7719523962688968
IOU 116: 0.651704940848991
IOU 117: 0.7281198003327787
IOU 118: 0.6627056672760512
IOU 119: 0.5957792207792207
IOU 120: 0.6183013144590496
IOU 121: 0.6161242603550295
IOU 122: 0.7552693208430913
IOU 123: 0.5614127569847127
IOU 124: 0.5907407407407408
IOU 125: 0.7326302729528535
IOU 126: 0.5841836734693877
IOU 127: 0.3597903406963684
IOU 128: 0.7438638163103721
Mean 0.59


==============MVS CALCULATE IOU from 1 to 128===============
Corrected: False
Maximized: True
IOU 1: 0.06765523632993513
IOU 2: 0.17926565874730022
IOU 3: 0.1151618398637138
IOU 4: 0.12574850299401197
IOU 5: 0.13111962537249894
IOU 6: 0.09909047391096218
IOU 7: 0.10256410256410256
IOU 8: 0.0803228285933897
IOU 9: 0.15577476366625564
IOU 10: 0.06852791878172589
IOU 11: 0.06361051883439943
IOU 12: 0.07908163265306123
IOU 13: 0.0657632522917497
IOU 14: 0.171017101710171
IOU 15: 0.14753382802269752
IOU 16: 0.058003169572107764
IOU 17: 0.0943934114665822
IOU 18: 0.09444193402620876
IOU 19: 0.11438326931284677
IOU 20: 0.08401551055579491
IOU 21: 0.10836363636363637
IOU 22: 0.10733695652173914
IOU 23: 0.16719492868462757
IOU 24: 0.07998375964271214
IOU 25: 0.22138047138047137
IOU 26: 0.22506393861892582
IOU 27: 0.2300509337860781
IOU 28: 0.09094942324755989
IOU 29: 0.12780162136385312
IOU 30: 0.0832089552238806
IOU 31: 0.11370967741935484
IOU 32: 0.0914004914004914
IOU 33: 0.08793375394321766
IOU 34: 0.19867914144193727
IOU 35: 0.09192200557103064
IOU 36: 0.20181674565560823
IOU 37: 0.17711030554117038
IOU 38: 0.16504178272980502
IOU 39: 0.17673716012084592
IOU 40: 0.08043408873284393
IOU 41: 0.1260245901639344
IOU 42: 0.11764705882352941
IOU 43: 0.09168865435356201
IOU 44: 0.12548764629388817
IOU 45: 0.1016260162601626
IOU 46: 0.1243753470294281
IOU 47: 0.09673832468495182
IOU 48: 0.07351460221550855
IOU 49: 0.08208707211698239
IOU 50: 0.07432651736449204
IOU 51: 0.06140022463496818
IOU 52: 0.089058524173028
IOU 53: 0.08731924360400445
IOU 54: 0.06950028719126938
IOU 55: 0.12582056892778992
IOU 56: 0.08977900552486189
IOU 57: 0.09794628751974724
IOU 58: 0.07667151162790697
IOU 59: 0.13022410660205935
IOU 60: 0.12652439024390244
IOU 61: 0.11500261369576581
IOU 62: 0.15268002165674066
IOU 63: 0.13145290047897817
IOU 64: 0.13029612756264236
IOU 65: 0.14319340918007062
IOU 66: 0.09755067567567567
IOU 67: 0.06987577639751552
IOU 68: 0.07228434504792332
IOU 69: 0.18920068027210885
IOU 70: 0.09632709632709632
IOU 71: 0.18397887323943662
IOU 72: 0.08662345315262228
IOU 73: 0.10754583921015515
IOU 74: 0.10104861773117255
IOU 75: 0.12255148166750376
IOU 76: 0.12050443717888837
IOU 77: 0.05466428995840761
IOU 82: 0.11756664388243336
IOU 83: 0.13013333333333332
IOU 84: 0.14704421261798312
IOU 93: 0.14826175869120656
IOU 94: 0.10449526813880126
IOU 95: 0.1289308176100629
IOU 96: 0.15082824760244115
IOU 97: 0.14352840666381889
IOU 98: 0.15438906043228937
IOU 99: 0.15321477428180574
IOU 100: 0.12690114068441063
IOU 101: 0.0909463334698894
IOU 102: 0.10427350427350428
IOU 103: 0.10075949367088607
IOU 104: 0.13365853658536586
IOU 105: 0.13191990577149587
IOU 106: 0.1389541715628672
